m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0
3,0.5416666666666666,0.0
3,0.5625,1.0
3,0.5833333333333334,0.0
3,0.6041666666666666,1.0
3,0.625,0.0
3,0.6458333333333334,0.0
3,0.6666666666666666,0.0
3,0.6875,0.0
3,0.7083333333333334,1.0
3,0.7291666666666666,0.0
3,0.75,1.0
3,0.7708333333333334,0.0
3,0.7916666666666666,0.0
3,0.8125,1.0
3,0.8333333333333334,1.0
3,0.8541666666666666,0.0
3,0.875,0.0
3,0.8958333333333334,0.0
3,0.9166666666666666,1.0
3,0.9375,1.0
3,0.9583333333333334,0.0
3,0.9791666666666666,1.0
3,1.0,0.0
4,0.5,0.0
4,0.5208333333333334,0.0
4,0.5416666666666666,1.0
4,0.5625,0.0
4,0.5833333333333334,1.0
4,0.6041666666666666,1.0
4,0.625,0.0
4,0.6458333333333334,0.0
4,0.6666666666666666,1.0
4,0.6875,1.0
4,0.7083333333333334,1.0
4,0.7291666666666666,1.0
4,0.75,0.0
4,0.7708333333333334,1.0
4,0.7916666666666666,1.0
4,0.8125,1.0
4,0.8333333333333334,1.0
4,0.8541666666666666,0.0
4,0.875,1.0
4,0.8958333333333334,1.0
4,0.9166666666666666,1.0
4,0.9375,1.0
4,0.9583333333333334,1.0
4,0.9791666666666666,1.0
4,1.0,1.0
5,0.5,0.0
5,0.5208333333333334,1.0
5,0.5416666666666666,1.0
5,0.5625,1.0
5,0.5833333333333334,0.0
5,0.6041666666666666,1.0
5,0.625,1.0
5,0.6458333333333334,1.0
5,0.6666666666666666,1.0
5,0.6875,1.0
5,0.7083333333333334,1.0
5,0.7291666666666666,0.0
5,0.75,0.0
5,0.7708333333333334,1.0
5,0.7916666666666666,0.0
5,0.8125,0.0
5,0.8333333333333334,1.0
5,0.8541666666666666,1.0
5,0.875,1.0
5,0.8958333333333334,1.0
5,0.9166666666666666,1.0
5,0.9375,1.0
5,0.9583333333333334,1.0
5,0.9791666666666666,1.0
5,1.0,1.0
