f,n,manipulability
f_2n_3,5,0.8302
f_2n_3,10,0.8669
f_2n_3,15,0.907
f_2n_3,20,0.8853
f_2n_3,25,0.8833
f_2n_3,30,0.8744
f_2n_3,35,0.8458
f_2n_3,40,0.8194
f_2n_3,45,0.8123
f_2n_3,50,0.7835
f_2n_3,55,0.7727
f_2n_3,60,0.7409
f_2n_3,65,0.7268
f_2n_3,70,0.6979
f_n_2,5,0.7784
f_n_2,10,0.7884
f_n_2,15,0.7403
f_n_2,20,0.7199
f_n_2,25,0.7054
f_n_2,30,0.6636
f_n_2,35,0.6359
f_n_2,40,0.5884
f_n_2,45,0.5868
f_n_2,50,0.5452
f_n_2,55,0.5393
f_n_2,60,0.528
f_n_2,65,0.5117
f_n_2,70,0.5006
f_n_3,5,0.5385
f_n_3,10,0.7421
f_n_3,15,0.738
f_n_3,20,0.6736
f_n_3,25,0.6904
f_n_3,30,0.6574
f_n_3,35,0.6166
f_n_3,40,0.616
f_n_3,45,0.5867
f_n_3,50,0.5629
f_n_3,55,0.5484
f_n_3,60,0.5357
f_n_3,65,0.5397
f_n_3,70,0.5051
Borda,5,0.6731
Borda,10,0.745
Borda,15,0.7255
Borda,20,0.7148
Borda,25,0.6901
Borda,30,0.6619
Borda,35,0.6321
Borda,40,0.6178
Borda,45,0.6006
Borda,50,0.5746
Borda,55,0.5582
Borda,60,0.5438
Borda,65,0.5403
Borda,70,0.5141
