f,n,manipulability
f_2n_3,5,0.8259
f_2n_3,10,0.8646
f_2n_3,15,0.9002
f_2n_3,20,0.8884
f_2n_3,25,0.8879
f_2n_3,30,0.8781
f_2n_3,35,0.8472
f_2n_3,40,0.8165
f_2n_3,45,0.8013
f_2n_3,50,0.7745
f_2n_3,55,0.78
f_2n_3,60,0.7367
f_2n_3,65,0.7268
f_2n_3,70,0.6998
f_n_2,5,0.7795
f_n_2,10,0.7837
f_n_2,15,0.7458
f_n_2,20,0.725
f_n_2,25,0.7014
f_n_2,30,0.6605
f_n_2,35,0.6405
f_n_2,40,0.6053
f_n_2,45,0.5826
f_n_2,50,0.5429
f_n_2,55,0.5404
f_n_2,60,0.5269
f_n_2,65,0.498
f_n_2,70,0.5088
f_n_3,5,0.5428
f_n_3,10,0.7417
f_n_3,15,0.7347
f_n_3,20,0.6726
f_n_3,25,0.6961
f_n_3,30,0.6571
f_n_3,35,0.6072
f_n_3,40,0.6151
f_n_3,45,0.5763
f_n_3,50,0.5551
f_n_3,55,0.5431
f_n_3,60,0.531
f_n_3,65,0.5287
f_n_3,70,0.4978
Borda,5,0.6712
Borda,10,0.7419
Borda,15,0.7316
Borda,20,0.7096
Borda,25,0.6786
Borda,30,0.6695
Borda,35,0.6393
Borda,40,0.6208
Borda,45,0.5958
Borda,50,0.5741
Borda,55,0.5609
Borda,60,0.547
Borda,65,0.5295
Borda,70,0.52
