m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0042
3,0.5416666666666666,0.0546
3,0.5625,0.1056
3,0.5833333333333334,0.1294
3,0.6041666666666666,0.1716
3,0.625,0.2
3,0.6458333333333334,0.226
3,0.6666666666666666,0.2254
3,0.6875,0.2337
3,0.7083333333333334,0.262
3,0.7291666666666666,0.2616
3,0.75,0.2821
3,0.7708333333333334,0.3003
3,0.7916666666666666,0.3487
3,0.8125,0.4112
3,0.8333333333333334,0.4728
3,0.8541666666666666,0.5216
3,0.875,0.5759
3,0.8958333333333334,0.6063
3,0.9166666666666666,0.6477
3,0.9375,0.6712
3,0.9583333333333334,0.6752
3,0.9791666666666666,0.6855
3,1.0,0.5045
4,0.5,0.0
4,0.5208333333333334,0.0487
4,0.5416666666666666,0.1702
4,0.5625,0.2217
4,0.5833333333333334,0.2219
4,0.6041666666666666,0.273
4,0.625,0.2892
4,0.6458333333333334,0.3045
4,0.6666666666666666,0.3121
4,0.6875,0.3433
4,0.7083333333333334,0.3762
4,0.7291666666666666,0.4406
4,0.75,0.4791
4,0.7708333333333334,0.517
4,0.7916666666666666,0.5563
4,0.8125,0.5973
4,0.8333333333333334,0.6052
4,0.8541666666666666,0.6164
4,0.875,0.6497
4,0.8958333333333334,0.6821
4,0.9166666666666666,0.7753
4,0.9375,0.8458
4,0.9583333333333334,0.9166
4,0.9791666666666666,0.9564
4,1.0,0.9668
5,0.5,0.0
5,0.5208333333333334,0.1849
5,0.5416666666666666,0.2293
5,0.5625,0.2583
5,0.5833333333333334,0.2886
5,0.6041666666666666,0.3374
5,0.625,0.3915
5,0.6458333333333334,0.4185
5,0.6666666666666666,0.4485
5,0.6875,0.4499
5,0.7083333333333334,0.4865
5,0.7291666666666666,0.5274
5,0.75,0.5598
5,0.7708333333333334,0.5913
5,0.7916666666666666,0.6278
5,0.8125,0.6805
5,0.8333333333333334,0.7635
5,0.8541666666666666,0.7822
5,0.875,0.8405
5,0.8958333333333334,0.8878
5,0.9166666666666666,0.9156
5,0.9375,0.9372
5,0.9583333333333334,0.9644
5,0.9791666666666666,0.9829
5,1.0,0.9893
