f,n,manipulability
f_2n_3,5,0.8293
f_2n_3,10,0.8611
f_2n_3,15,0.9078
f_2n_3,20,0.8881
f_2n_3,25,0.8876
f_2n_3,30,0.8804
f_2n_3,35,0.8444
f_2n_3,40,0.8141
f_2n_3,45,0.8028
f_2n_3,50,0.7831
f_2n_3,55,0.7729
f_2n_3,60,0.7339
f_2n_3,65,0.7138
f_2n_3,70,0.6964
f_n_2,5,0.7806
f_n_2,10,0.7846
f_n_2,15,0.7368
f_n_2,20,0.7304
f_n_2,25,0.6974
f_n_2,30,0.6575
f_n_2,35,0.6443
f_n_2,40,0.5997
f_n_2,45,0.5952
f_n_2,50,0.558
f_n_2,55,0.5446
f_n_2,60,0.5279
f_n_2,65,0.5152
f_n_2,70,0.5018
f_n_3,5,0.5434
f_n_3,10,0.7481
f_n_3,15,0.7374
f_n_3,20,0.6759
f_n_3,25,0.6892
f_n_3,30,0.6714
f_n_3,35,0.6139
f_n_3,40,0.6183
f_n_3,45,0.5823
f_n_3,50,0.568
f_n_3,55,0.5427
f_n_3,60,0.5433
f_n_3,65,0.5306
f_n_3,70,0.5083
Borda,5,0.6716
Borda,10,0.7486
Borda,15,0.7243
Borda,20,0.7075
Borda,25,0.6846
Borda,30,0.6735
Borda,35,0.6436
Borda,40,0.6213
Borda,45,0.5868
Borda,50,0.576
Borda,55,0.5632
Borda,60,0.5502
Borda,65,0.5331
Borda,70,0.5257
