f,n,manipulability
f_2n_3,5,0.8218
f_2n_3,10,0.8593
f_2n_3,15,0.9011
f_2n_3,20,0.8844
f_2n_3,25,0.8885
f_2n_3,30,0.8739
f_2n_3,35,0.8416
f_2n_3,40,0.8137
f_2n_3,45,0.7965
f_2n_3,50,0.7755
f_2n_3,55,0.7768
f_2n_3,60,0.736
f_2n_3,65,0.726
f_2n_3,70,0.708
f_n_2,5,0.7871
f_n_2,10,0.789
f_n_2,15,0.7432
f_n_2,20,0.729
f_n_2,25,0.695
f_n_2,30,0.6667
f_n_2,35,0.6486
f_n_2,40,0.6072
f_n_2,45,0.5902
f_n_2,50,0.5469
f_n_2,55,0.5461
f_n_2,60,0.5367
f_n_2,65,0.4935
f_n_2,70,0.5076
f_n_3,5,0.546
f_n_3,10,0.7348
f_n_3,15,0.7397
f_n_3,20,0.673
f_n_3,25,0.6949
f_n_3,30,0.6679
f_n_3,35,0.6139
f_n_3,40,0.62
f_n_3,45,0.5766
f_n_3,50,0.5659
f_n_3,55,0.5485
f_n_3,60,0.5374
f_n_3,65,0.5293
f_n_3,70,0.5054
Borda,5,0.6666
Borda,10,0.7465
Borda,15,0.7281
Borda,20,0.7081
Borda,25,0.6872
Borda,30,0.6571
Borda,35,0.6452
Borda,40,0.6135
Borda,45,0.5935
Borda,50,0.575
Borda,55,0.5653
Borda,60,0.5463
Borda,65,0.5428
Borda,70,0.518
