m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0011
3,0.5416666666666666,0.062
3,0.5625,0.1642
3,0.5833333333333334,0.2508
3,0.6041666666666666,0.3369
3,0.625,0.3394
3,0.6458333333333334,0.3706
3,0.6666666666666666,0.3484
3,0.6875,0.3567
3,0.7083333333333334,0.3586
3,0.7291666666666666,0.3534
3,0.75,0.372
3,0.7708333333333334,0.4199
3,0.7916666666666666,0.4641
3,0.8125,0.5481
3,0.8333333333333334,0.5884
3,0.8541666666666666,0.6055
3,0.875,0.619
3,0.8958333333333334,0.6196
3,0.9166666666666666,0.6216
3,0.9375,0.6236
3,0.9583333333333334,0.6229
3,0.9791666666666666,0.5642
3,1.0,0.2234
4,0.5,0.0
4,0.5208333333333334,0.088
4,0.5416666666666666,0.3401
4,0.5625,0.4147
4,0.5833333333333334,0.4175
4,0.6041666666666666,0.4346
4,0.625,0.4571
4,0.6458333333333334,0.4519
4,0.6666666666666666,0.4828
4,0.6875,0.5224
4,0.7083333333333334,0.5866
4,0.7291666666666666,0.628
4,0.75,0.6586
4,0.7708333333333334,0.663
4,0.7916666666666666,0.6646
4,0.8125,0.6679
4,0.8333333333333334,0.6579
4,0.8541666666666666,0.6583
4,0.875,0.6877
4,0.8958333333333334,0.7692
4,0.9166666666666666,0.887
4,0.9375,0.9499
4,0.9583333333333334,0.9721
4,0.9791666666666666,0.9739
4,1.0,0.9717
5,0.5,0.0
5,0.5208333333333334,0.3961
5,0.5416666666666666,0.4496
5,0.5625,0.4164
5,0.5833333333333334,0.4829
5,0.6041666666666666,0.5468
5,0.625,0.609
5,0.6458333333333334,0.6579
5,0.6666666666666666,0.7007
5,0.6875,0.6629
5,0.7083333333333334,0.6789
5,0.7291666666666666,0.6874
5,0.75,0.7003
5,0.7708333333333334,0.696
5,0.7916666666666666,0.7425
5,0.8125,0.8128
5,0.8333333333333334,0.8888
5,0.8541666666666666,0.9068
5,0.875,0.9248
5,0.8958333333333334,0.9474
5,0.9166666666666666,0.9334
5,0.9375,0.9337
5,0.9583333333333334,0.9736
5,0.9791666666666666,0.9931
5,1.0,0.998
