f,n,manipulability
f_2n_3,5,0.8269
f_2n_3,10,0.8596
f_2n_3,15,0.9012
f_2n_3,20,0.8884
f_2n_3,25,0.8895
f_2n_3,30,0.8715
f_2n_3,35,0.8413
f_2n_3,40,0.8121
f_2n_3,45,0.8017
f_2n_3,50,0.7852
f_2n_3,55,0.77
f_2n_3,60,0.7331
f_2n_3,65,0.7286
f_2n_3,70,0.697
f_n_2,5,0.7797
f_n_2,10,0.7882
f_n_2,15,0.738
f_n_2,20,0.7327
f_n_2,25,0.7001
f_n_2,30,0.657
f_n_2,35,0.6353
f_n_2,40,0.6007
f_n_2,45,0.5821
f_n_2,50,0.5519
f_n_2,55,0.5479
f_n_2,60,0.5357
f_n_2,65,0.5096
f_n_2,70,0.5037
f_n_3,5,0.5353
f_n_3,10,0.7426
f_n_3,15,0.7422
f_n_3,20,0.6727
f_n_3,25,0.6928
f_n_3,30,0.6572
f_n_3,35,0.6096
f_n_3,40,0.6136
f_n_3,45,0.5737
f_n_3,50,0.5599
f_n_3,55,0.5417
f_n_3,60,0.537
f_n_3,65,0.5283
f_n_3,70,0.5028
Borda,5,0.6648
Borda,10,0.752
Borda,15,0.7347
Borda,20,0.7031
Borda,25,0.6829
Borda,30,0.6601
Borda,35,0.6358
Borda,40,0.6207
Borda,45,0.586
Borda,50,0.5735
Borda,55,0.5633
Borda,60,0.5472
Borda,65,0.5297
Borda,70,0.5217
