f,n,manipulability
f_2n_3,5,0.8285
f_2n_3,10,0.8607
f_2n_3,15,0.9043
f_2n_3,20,0.8847
f_2n_3,25,0.8897
f_2n_3,30,0.8729
f_2n_3,35,0.8441
f_2n_3,40,0.8082
f_2n_3,45,0.8062
f_2n_3,50,0.7754
f_2n_3,55,0.7741
f_2n_3,60,0.742
f_2n_3,65,0.7193
f_2n_3,70,0.698
f_n_2,5,0.7862
f_n_2,10,0.7856
f_n_2,15,0.7472
f_n_2,20,0.7206
f_n_2,25,0.6936
f_n_2,30,0.6594
f_n_2,35,0.6396
f_n_2,40,0.5969
f_n_2,45,0.5869
f_n_2,50,0.5472
f_n_2,55,0.5502
f_n_2,60,0.5344
f_n_2,65,0.5042
f_n_2,70,0.5077
f_n_3,5,0.5362
f_n_3,10,0.7419
f_n_3,15,0.7279
f_n_3,20,0.6734
f_n_3,25,0.6962
f_n_3,30,0.6617
f_n_3,35,0.6176
f_n_3,40,0.6177
f_n_3,45,0.5682
f_n_3,50,0.5668
f_n_3,55,0.5528
f_n_3,60,0.5249
f_n_3,65,0.5294
f_n_3,70,0.5088
Borda,5,0.6685
Borda,10,0.7412
Borda,15,0.7266
Borda,20,0.7156
Borda,25,0.6853
Borda,30,0.6582
Borda,35,0.6443
Borda,40,0.6155
Borda,45,0.5869
Borda,50,0.5811
Borda,55,0.563
Borda,60,0.5513
Borda,65,0.5379
Borda,70,0.5234
