f,n,manipulability
f_2n_3,5,0.832
f_2n_3,10,0.8583
f_2n_3,15,0.9046
f_2n_3,20,0.8874
f_2n_3,25,0.8919
f_2n_3,30,0.8778
f_2n_3,35,0.8459
f_2n_3,40,0.8164
f_2n_3,45,0.8091
f_2n_3,50,0.7713
f_2n_3,55,0.7764
f_2n_3,60,0.7428
f_2n_3,65,0.7258
f_2n_3,70,0.6927
f_n_2,5,0.7755
f_n_2,10,0.7834
f_n_2,15,0.7449
f_n_2,20,0.7254
f_n_2,25,0.7015
f_n_2,30,0.6586
f_n_2,35,0.6463
f_n_2,40,0.5995
f_n_2,45,0.5885
f_n_2,50,0.541
f_n_2,55,0.5413
f_n_2,60,0.5263
f_n_2,65,0.5101
f_n_2,70,0.5156
f_n_3,5,0.5401
f_n_3,10,0.7411
f_n_3,15,0.7285
f_n_3,20,0.6647
f_n_3,25,0.6921
f_n_3,30,0.6669
f_n_3,35,0.6092
f_n_3,40,0.6186
f_n_3,45,0.571
f_n_3,50,0.5604
f_n_3,55,0.5532
f_n_3,60,0.526
f_n_3,65,0.528
f_n_3,70,0.5062
Borda,5,0.6607
Borda,10,0.7459
Borda,15,0.7321
Borda,20,0.7062
Borda,25,0.6835
Borda,30,0.6716
Borda,35,0.6378
Borda,40,0.615
Borda,45,0.5954
Borda,50,0.5774
Borda,55,0.5656
Borda,60,0.5521
Borda,65,0.5345
Borda,70,0.5194
