m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0054
3,0.5416666666666666,0.0522
3,0.5625,0.1069
3,0.5833333333333334,0.1256
3,0.6041666666666666,0.1706
3,0.625,0.1895
3,0.6458333333333334,0.2261
3,0.6666666666666666,0.2317
3,0.6875,0.228
3,0.7083333333333334,0.2592
3,0.7291666666666666,0.2671
3,0.75,0.287
3,0.7708333333333334,0.3025
3,0.7916666666666666,0.3532
3,0.8125,0.4051
3,0.8333333333333334,0.4776
3,0.8541666666666666,0.5352
3,0.875,0.5706
3,0.8958333333333334,0.6077
3,0.9166666666666666,0.6449
3,0.9375,0.6555
3,0.9583333333333334,0.6776
3,0.9791666666666666,0.6754
3,1.0,0.5033
4,0.5,0.0
4,0.5208333333333334,0.0525
4,0.5416666666666666,0.1665
4,0.5625,0.2147
4,0.5833333333333334,0.2299
4,0.6041666666666666,0.2715
4,0.625,0.2801
4,0.6458333333333334,0.3055
4,0.6666666666666666,0.3157
4,0.6875,0.3497
4,0.7083333333333334,0.3887
4,0.7291666666666666,0.4536
4,0.75,0.4934
4,0.7708333333333334,0.5133
4,0.7916666666666666,0.5496
4,0.8125,0.6087
4,0.8333333333333334,0.5967
4,0.8541666666666666,0.6176
4,0.875,0.6527
4,0.8958333333333334,0.6919
4,0.9166666666666666,0.7728
4,0.9375,0.8458
4,0.9583333333333334,0.9177
4,0.9791666666666666,0.9542
4,1.0,0.9679
5,0.5,0.0
5,0.5208333333333334,0.1823
5,0.5416666666666666,0.2388
5,0.5625,0.2462
5,0.5833333333333334,0.2913
5,0.6041666666666666,0.3367
5,0.625,0.3831
5,0.6458333333333334,0.4168
5,0.6666666666666666,0.4428
5,0.6875,0.447
5,0.7083333333333334,0.491
5,0.7291666666666666,0.5259
5,0.75,0.5628
5,0.7708333333333334,0.5856
5,0.7916666666666666,0.6207
5,0.8125,0.6792
5,0.8333333333333334,0.7657
5,0.8541666666666666,0.7871
5,0.875,0.8406
5,0.8958333333333334,0.8852
5,0.9166666666666666,0.9123
5,0.9375,0.9367
5,0.9583333333333334,0.9698
5,0.9791666666666666,0.9823
5,1.0,0.9895
