m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0038
3,0.5416666666666666,0.0534
3,0.5625,0.1072
3,0.5833333333333334,0.1278
3,0.6041666666666666,0.1746
3,0.625,0.1991
3,0.6458333333333334,0.2207
3,0.6666666666666666,0.2236
3,0.6875,0.2292
3,0.7083333333333334,0.2607
3,0.7291666666666666,0.2563
3,0.75,0.2862
3,0.7708333333333334,0.2986
3,0.7916666666666666,0.3472
3,0.8125,0.4152
3,0.8333333333333334,0.4706
3,0.8541666666666666,0.5256
3,0.875,0.5788
3,0.8958333333333334,0.6061
3,0.9166666666666666,0.6452
3,0.9375,0.6654
3,0.9583333333333334,0.6829
3,0.9791666666666666,0.6778
3,1.0,0.5021
4,0.5,0.0
4,0.5208333333333334,0.0491
4,0.5416666666666666,0.1707
4,0.5625,0.2092
4,0.5833333333333334,0.2257
4,0.6041666666666666,0.2647
4,0.625,0.2859
4,0.6458333333333334,0.3063
4,0.6666666666666666,0.3257
4,0.6875,0.3425
4,0.7083333333333334,0.3864
4,0.7291666666666666,0.4508
4,0.75,0.4821
4,0.7708333333333334,0.5111
4,0.7916666666666666,0.5586
4,0.8125,0.6005
4,0.8333333333333334,0.6015
4,0.8541666666666666,0.6321
4,0.875,0.6381
4,0.8958333333333334,0.6837
4,0.9166666666666666,0.7753
4,0.9375,0.8545
4,0.9583333333333334,0.9138
4,0.9791666666666666,0.9526
4,1.0,0.9677
5,0.5,0.0
5,0.5208333333333334,0.1868
5,0.5416666666666666,0.2215
5,0.5625,0.251
5,0.5833333333333334,0.293
5,0.6041666666666666,0.3313
5,0.625,0.3776
5,0.6458333333333334,0.4196
5,0.6666666666666666,0.4362
5,0.6875,0.4536
5,0.7083333333333334,0.4869
5,0.7291666666666666,0.5188
5,0.75,0.5562
5,0.7708333333333334,0.5971
5,0.7916666666666666,0.6195
5,0.8125,0.6833
5,0.8333333333333334,0.7637
5,0.8541666666666666,0.7883
5,0.875,0.8375
5,0.8958333333333334,0.8878
5,0.9166666666666666,0.9187
5,0.9375,0.939
5,0.9583333333333334,0.9677
5,0.9791666666666666,0.9803
5,1.0,0.9889
