f,n,manipulability
f_2n_3,5,0.8339
f_2n_3,10,0.8549
f_2n_3,15,0.9038
f_2n_3,20,0.8938
f_2n_3,25,0.8875
f_2n_3,30,0.8755
f_2n_3,35,0.8415
f_2n_3,40,0.8193
f_2n_3,45,0.8029
f_2n_3,50,0.7843
f_2n_3,55,0.7768
f_2n_3,60,0.735
f_2n_3,65,0.7226
f_2n_3,70,0.6963
f_n_2,5,0.7821
f_n_2,10,0.7812
f_n_2,15,0.7484
f_n_2,20,0.7194
f_n_2,25,0.6983
f_n_2,30,0.6708
f_n_2,35,0.6358
f_n_2,40,0.6002
f_n_2,45,0.5843
f_n_2,50,0.5505
f_n_2,55,0.547
f_n_2,60,0.5297
f_n_2,65,0.4975
f_n_2,70,0.5043
f_n_3,5,0.5373
f_n_3,10,0.7455
f_n_3,15,0.7352
f_n_3,20,0.6687
f_n_3,25,0.6899
f_n_3,30,0.6521
f_n_3,35,0.6071
f_n_3,40,0.6117
f_n_3,45,0.5738
f_n_3,50,0.5594
f_n_3,55,0.5548
f_n_3,60,0.5305
f_n_3,65,0.5286
f_n_3,70,0.5039
Borda,5,0.6637
Borda,10,0.7459
Borda,15,0.7293
Borda,20,0.7025
Borda,25,0.677
Borda,30,0.6621
Borda,35,0.6399
Borda,40,0.6135
Borda,45,0.5995
Borda,50,0.5797
Borda,55,0.5702
Borda,60,0.5533
Borda,65,0.5321
Borda,70,0.5133
