m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.006
3,0.5416666666666666,0.0541
3,0.5625,0.0992
3,0.5833333333333334,0.129
3,0.6041666666666666,0.1681
3,0.625,0.2002
3,0.6458333333333334,0.23
3,0.6666666666666666,0.2278
3,0.6875,0.2337
3,0.7083333333333334,0.2596
3,0.7291666666666666,0.2611
3,0.75,0.2808
3,0.7708333333333334,0.3051
3,0.7916666666666666,0.3515
3,0.8125,0.4147
3,0.8333333333333334,0.4719
3,0.8541666666666666,0.5298
3,0.875,0.5718
3,0.8958333333333334,0.6157
3,0.9166666666666666,0.6322
3,0.9375,0.6619
3,0.9583333333333334,0.683
3,0.9791666666666666,0.6869
3,1.0,0.506
4,0.5,0.0
4,0.5208333333333334,0.0489
4,0.5416666666666666,0.1756
4,0.5625,0.2143
4,0.5833333333333334,0.2186
4,0.6041666666666666,0.2699
4,0.625,0.2816
4,0.6458333333333334,0.3007
4,0.6666666666666666,0.3115
4,0.6875,0.3457
4,0.7083333333333334,0.3992
4,0.7291666666666666,0.4462
4,0.75,0.4879
4,0.7708333333333334,0.5187
4,0.7916666666666666,0.5577
4,0.8125,0.5948
4,0.8333333333333334,0.5956
4,0.8541666666666666,0.623
4,0.875,0.6422
4,0.8958333333333334,0.7002
4,0.9166666666666666,0.7632
4,0.9375,0.8481
4,0.9583333333333334,0.9124
4,0.9791666666666666,0.9581
4,1.0,0.9662
5,0.5,0.0
5,0.5208333333333334,0.1911
5,0.5416666666666666,0.2351
5,0.5625,0.2485
5,0.5833333333333334,0.2957
5,0.6041666666666666,0.3451
5,0.625,0.382
5,0.6458333333333334,0.4182
5,0.6666666666666666,0.4388
5,0.6875,0.444
5,0.7083333333333334,0.4883
5,0.7291666666666666,0.5181
5,0.75,0.5619
5,0.7708333333333334,0.5849
5,0.7916666666666666,0.6236
5,0.8125,0.685
5,0.8333333333333334,0.7631
5,0.8541666666666666,0.7901
5,0.875,0.8318
5,0.8958333333333334,0.8874
5,0.9166666666666666,0.9147
5,0.9375,0.9346
5,0.9583333333333334,0.9661
5,0.9791666666666666,0.9811
5,1.0,0.9891
