m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0014
3,0.5416666666666666,0.0586
3,0.5625,0.1633
3,0.5833333333333334,0.2569
3,0.6041666666666666,0.3324
3,0.625,0.3335
3,0.6458333333333334,0.3784
3,0.6666666666666666,0.3507
3,0.6875,0.3595
3,0.7083333333333334,0.3556
3,0.7291666666666666,0.3646
3,0.75,0.3713
3,0.7708333333333334,0.422
3,0.7916666666666666,0.4618
3,0.8125,0.5382
3,0.8333333333333334,0.5845
3,0.8541666666666666,0.5987
3,0.875,0.6145
3,0.8958333333333334,0.6164
3,0.9166666666666666,0.6161
3,0.9375,0.6123
3,0.9583333333333334,0.6224
3,0.9791666666666666,0.5672
3,1.0,0.2246
4,0.5,0.0
4,0.5208333333333334,0.0812
4,0.5416666666666666,0.3422
4,0.5625,0.4134
4,0.5833333333333334,0.4012
4,0.6041666666666666,0.436
4,0.625,0.4534
4,0.6458333333333334,0.4461
4,0.6666666666666666,0.4745
4,0.6875,0.5222
4,0.7083333333333334,0.5863
4,0.7291666666666666,0.6268
4,0.75,0.6568
4,0.7708333333333334,0.6574
4,0.7916666666666666,0.6702
4,0.8125,0.6672
4,0.8333333333333334,0.6686
4,0.8541666666666666,0.6503
4,0.875,0.6798
4,0.8958333333333334,0.7724
4,0.9166666666666666,0.8829
4,0.9375,0.9494
4,0.9583333333333334,0.9718
4,0.9791666666666666,0.9764
4,1.0,0.9704
5,0.5,0.0
5,0.5208333333333334,0.3927
5,0.5416666666666666,0.4468
5,0.5625,0.417
5,0.5833333333333334,0.4899
5,0.6041666666666666,0.5408
5,0.625,0.6189
5,0.6458333333333334,0.6494
5,0.6666666666666666,0.7056
5,0.6875,0.6604
5,0.7083333333333334,0.6748
5,0.7291666666666666,0.6821
5,0.75,0.7014
5,0.7708333333333334,0.6958
5,0.7916666666666666,0.7298
5,0.8125,0.8111
5,0.8333333333333334,0.8914
5,0.8541666666666666,0.9089
5,0.875,0.9213
5,0.8958333333333334,0.941
5,0.9166666666666666,0.9369
5,0.9375,0.9305
5,0.9583333333333334,0.9716
5,0.9791666666666666,0.9921
5,1.0,0.9975
