m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.005
3,0.5416666666666666,0.0509
3,0.5625,0.1031
3,0.5833333333333334,0.124
3,0.6041666666666666,0.1717
3,0.625,0.1933
3,0.6458333333333334,0.2248
3,0.6666666666666666,0.2252
3,0.6875,0.2339
3,0.7083333333333334,0.2636
3,0.7291666666666666,0.2598
3,0.75,0.2723
3,0.7708333333333334,0.2934
3,0.7916666666666666,0.3492
3,0.8125,0.41
3,0.8333333333333334,0.4731
3,0.8541666666666666,0.5231
3,0.875,0.5661
3,0.8958333333333334,0.6105
3,0.9166666666666666,0.6437
3,0.9375,0.664
3,0.9583333333333334,0.677
3,0.9791666666666666,0.6746
3,1.0,0.4995
4,0.5,0.0
4,0.5208333333333334,0.0524
4,0.5416666666666666,0.1742
4,0.5625,0.2224
4,0.5833333333333334,0.2275
4,0.6041666666666666,0.2664
4,0.625,0.2839
4,0.6458333333333334,0.2955
4,0.6666666666666666,0.3162
4,0.6875,0.3398
4,0.7083333333333334,0.3885
4,0.7291666666666666,0.4587
4,0.75,0.483
4,0.7708333333333334,0.5256
4,0.7916666666666666,0.5609
4,0.8125,0.6024
4,0.8333333333333334,0.5911
4,0.8541666666666666,0.6202
4,0.875,0.6408
4,0.8958333333333334,0.6923
4,0.9166666666666666,0.7723
4,0.9375,0.8537
4,0.9583333333333334,0.9161
4,0.9791666666666666,0.9543
4,1.0,0.969
5,0.5,0.0
5,0.5208333333333334,0.184
5,0.5416666666666666,0.2397
5,0.5625,0.2489
5,0.5833333333333334,0.2813
5,0.6041666666666666,0.3442
5,0.625,0.3833
5,0.6458333333333334,0.4205
5,0.6666666666666666,0.4397
5,0.6875,0.4497
5,0.7083333333333334,0.4842
5,0.7291666666666666,0.5254
5,0.75,0.5588
5,0.7708333333333334,0.5871
5,0.7916666666666666,0.6255
5,0.8125,0.6824
5,0.8333333333333334,0.7599
5,0.8541666666666666,0.792
5,0.875,0.8373
5,0.8958333333333334,0.8843
5,0.9166666666666666,0.9174
5,0.9375,0.9351
5,0.9583333333333334,0.9661
5,0.9791666666666666,0.9842
5,1.0,0.9902
