f,n,manipulability
f_2n_3,5,0.8285
f_2n_3,10,0.8591
f_2n_3,15,0.9031
f_2n_3,20,0.8816
f_2n_3,25,0.8876
f_2n_3,30,0.8742
f_2n_3,35,0.8424
f_2n_3,40,0.8181
f_2n_3,45,0.8023
f_2n_3,50,0.7743
f_2n_3,55,0.7791
f_2n_3,60,0.7329
f_2n_3,65,0.7241
f_2n_3,70,0.7003
f_n_2,5,0.7753
f_n_2,10,0.7835
f_n_2,15,0.7459
f_n_2,20,0.7216
f_n_2,25,0.7031
f_n_2,30,0.6575
f_n_2,35,0.64
f_n_2,40,0.6048
f_n_2,45,0.5957
f_n_2,50,0.548
f_n_2,55,0.5361
f_n_2,60,0.5351
f_n_2,65,0.502
f_n_2,70,0.4947
f_n_3,5,0.5518
f_n_3,10,0.7439
f_n_3,15,0.7347
f_n_3,20,0.6789
f_n_3,25,0.6874
f_n_3,30,0.6611
f_n_3,35,0.6132
f_n_3,40,0.6159
f_n_3,45,0.5806
f_n_3,50,0.5537
f_n_3,55,0.5457
f_n_3,60,0.5365
f_n_3,65,0.5343
f_n_3,70,0.5131
Borda,5,0.6598
Borda,10,0.7494
Borda,15,0.7303
Borda,20,0.7064
Borda,25,0.6919
Borda,30,0.6564
Borda,35,0.6353
Borda,40,0.6136
Borda,45,0.5964
Borda,50,0.5844
Borda,55,0.5733
Borda,60,0.549
Borda,65,0.5331
Borda,70,0.5246
