m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0007
3,0.5416666666666666,0.0587
3,0.5625,0.1628
3,0.5833333333333334,0.2594
3,0.6041666666666666,0.3299
3,0.625,0.3459
3,0.6458333333333334,0.3836
3,0.6666666666666666,0.355
3,0.6875,0.3569
3,0.7083333333333334,0.358
3,0.7291666666666666,0.3612
3,0.75,0.3763
3,0.7708333333333334,0.4078
3,0.7916666666666666,0.4751
3,0.8125,0.5371
3,0.8333333333333334,0.5859
3,0.8541666666666666,0.6128
3,0.875,0.6147
3,0.8958333333333334,0.6212
3,0.9166666666666666,0.6186
3,0.9375,0.6226
3,0.9583333333333334,0.6204
3,0.9791666666666666,0.5628
3,1.0,0.2185
4,0.5,0.0
4,0.5208333333333334,0.0832
4,0.5416666666666666,0.3478
4,0.5625,0.4148
4,0.5833333333333334,0.4172
4,0.6041666666666666,0.4424
4,0.625,0.4658
4,0.6458333333333334,0.4337
4,0.6666666666666666,0.4891
4,0.6875,0.5206
4,0.7083333333333334,0.5769
4,0.7291666666666666,0.6307
4,0.75,0.6554
4,0.7708333333333334,0.6616
4,0.7916666666666666,0.6679
4,0.8125,0.659
4,0.8333333333333334,0.665
4,0.8541666666666666,0.6523
4,0.875,0.6763
4,0.8958333333333334,0.7716
4,0.9166666666666666,0.8809
4,0.9375,0.9537
4,0.9583333333333334,0.9743
4,0.9791666666666666,0.9756
4,1.0,0.9728
5,0.5,0.0
5,0.5208333333333334,0.3908
5,0.5416666666666666,0.449
5,0.5625,0.4227
5,0.5833333333333334,0.4959
5,0.6041666666666666,0.5397
5,0.625,0.6169
5,0.6458333333333334,0.6542
5,0.6666666666666666,0.7015
5,0.6875,0.6678
5,0.7083333333333334,0.6909
5,0.7291666666666666,0.6827
5,0.75,0.7022
5,0.7708333333333334,0.6969
5,0.7916666666666666,0.7351
5,0.8125,0.8107
5,0.8333333333333334,0.8913
5,0.8541666666666666,0.9065
5,0.875,0.92
5,0.8958333333333334,0.9454
5,0.9166666666666666,0.9353
5,0.9375,0.9314
5,0.9583333333333334,0.9731
5,0.9791666666666666,0.9911
5,1.0,0.9979
