f,n,manipulability
f_2n_3,5,0.8337
f_2n_3,10,0.8573
f_2n_3,15,0.904
f_2n_3,20,0.8852
f_2n_3,25,0.8901
f_2n_3,30,0.8765
f_2n_3,35,0.8433
f_2n_3,40,0.8181
f_2n_3,45,0.8003
f_2n_3,50,0.7759
f_2n_3,55,0.7823
f_2n_3,60,0.738
f_2n_3,65,0.7156
f_2n_3,70,0.6974
f_n_2,5,0.7813
f_n_2,10,0.7846
f_n_2,15,0.7436
f_n_2,20,0.7147
f_n_2,25,0.6935
f_n_2,30,0.661
f_n_2,35,0.6391
f_n_2,40,0.5996
f_n_2,45,0.5924
f_n_2,50,0.5364
f_n_2,55,0.5428
f_n_2,60,0.532
f_n_2,65,0.507
f_n_2,70,0.5127
f_n_3,5,0.5305
f_n_3,10,0.7389
f_n_3,15,0.7395
f_n_3,20,0.672
f_n_3,25,0.6997
f_n_3,30,0.6563
f_n_3,35,0.6204
f_n_3,40,0.6147
f_n_3,45,0.5776
f_n_3,50,0.5632
f_n_3,55,0.5527
f_n_3,60,0.531
f_n_3,65,0.5263
f_n_3,70,0.515
Borda,5,0.6628
Borda,10,0.7501
Borda,15,0.7273
Borda,20,0.7136
Borda,25,0.6916
Borda,30,0.6566
Borda,35,0.6493
Borda,40,0.6141
Borda,45,0.6062
Borda,50,0.5778
Borda,55,0.5769
Borda,60,0.5547
Borda,65,0.5421
Borda,70,0.5277
