f,n,manipulability
f_2n_3,5,0.8239
f_2n_3,10,0.8558
f_2n_3,15,0.9093
f_2n_3,20,0.8888
f_2n_3,25,0.8867
f_2n_3,30,0.8781
f_2n_3,35,0.8427
f_2n_3,40,0.8151
f_2n_3,45,0.7965
f_2n_3,50,0.781
f_2n_3,55,0.771
f_2n_3,60,0.7276
f_2n_3,65,0.7175
f_2n_3,70,0.713
f_n_2,5,0.7787
f_n_2,10,0.7916
f_n_2,15,0.7393
f_n_2,20,0.7183
f_n_2,25,0.7004
f_n_2,30,0.6676
f_n_2,35,0.6331
f_n_2,40,0.6047
f_n_2,45,0.5898
f_n_2,50,0.5564
f_n_2,55,0.549
f_n_2,60,0.5383
f_n_2,65,0.4996
f_n_2,70,0.5064
f_n_3,5,0.541
f_n_3,10,0.7352
f_n_3,15,0.7335
f_n_3,20,0.6645
f_n_3,25,0.6909
f_n_3,30,0.6598
f_n_3,35,0.6136
f_n_3,40,0.614
f_n_3,45,0.5802
f_n_3,50,0.5582
f_n_3,55,0.5428
f_n_3,60,0.5368
f_n_3,65,0.5301
f_n_3,70,0.5062
Borda,5,0.6657
Borda,10,0.7508
Borda,15,0.7227
Borda,20,0.7092
Borda,25,0.6844
Borda,30,0.659
Borda,35,0.6317
Borda,40,0.6084
Borda,45,0.6021
Borda,50,0.5771
Borda,55,0.5585
Borda,60,0.549
Borda,65,0.5334
Borda,70,0.5199
