f,n,manipulability
f_2n_3,5,0.8296
f_2n_3,10,0.8522
f_2n_3,15,0.9043
f_2n_3,20,0.8905
f_2n_3,25,0.887
f_2n_3,30,0.8774
f_2n_3,35,0.8484
f_2n_3,40,0.8147
f_2n_3,45,0.8031
f_2n_3,50,0.7762
f_2n_3,55,0.7739
f_2n_3,60,0.7424
f_2n_3,65,0.7214
f_2n_3,70,0.7074
f_n_2,5,0.7854
f_n_2,10,0.777
f_n_2,15,0.7464
f_n_2,20,0.73
f_n_2,25,0.6922
f_n_2,30,0.663
f_n_2,35,0.6403
f_n_2,40,0.6018
f_n_2,45,0.5876
f_n_2,50,0.5465
f_n_2,55,0.5401
f_n_2,60,0.5249
f_n_2,65,0.4997
f_n_2,70,0.5003
f_n_3,5,0.5415
f_n_3,10,0.742
f_n_3,15,0.734
f_n_3,20,0.6745
f_n_3,25,0.6915
f_n_3,30,0.6586
f_n_3,35,0.6117
f_n_3,40,0.6102
f_n_3,45,0.5799
f_n_3,50,0.5566
f_n_3,55,0.5504
f_n_3,60,0.5285
f_n_3,65,0.5278
f_n_3,70,0.4989
Borda,5,0.6667
Borda,10,0.745
Borda,15,0.7237
Borda,20,0.7121
Borda,25,0.6927
Borda,30,0.6606
Borda,35,0.6462
Borda,40,0.6262
Borda,45,0.5996
Borda,50,0.5799
Borda,55,0.5603
Borda,60,0.5611
Borda,65,0.537
Borda,70,0.5237
