f,n,manipulability
f_2n_3,5,0.8265
f_2n_3,10,0.8519
f_2n_3,15,0.9064
f_2n_3,20,0.8897
f_2n_3,25,0.892
f_2n_3,30,0.8722
f_2n_3,35,0.8396
f_2n_3,40,0.8213
f_2n_3,45,0.8013
f_2n_3,50,0.7784
f_2n_3,55,0.7803
f_2n_3,60,0.7315
f_2n_3,65,0.7227
f_2n_3,70,0.6969
f_n_2,5,0.7793
f_n_2,10,0.7883
f_n_2,15,0.7433
f_n_2,20,0.728
f_n_2,25,0.6979
f_n_2,30,0.6585
f_n_2,35,0.6513
f_n_2,40,0.5961
f_n_2,45,0.584
f_n_2,50,0.5525
f_n_2,55,0.5408
f_n_2,60,0.5197
f_n_2,65,0.4998
f_n_2,70,0.5191
f_n_3,5,0.5349
f_n_3,10,0.7354
f_n_3,15,0.7371
f_n_3,20,0.6696
f_n_3,25,0.6953
f_n_3,30,0.6643
f_n_3,35,0.6098
f_n_3,40,0.6177
f_n_3,45,0.5749
f_n_3,50,0.5564
f_n_3,55,0.5506
f_n_3,60,0.5295
f_n_3,65,0.5331
f_n_3,70,0.502
Borda,5,0.6657
Borda,10,0.7513
Borda,15,0.7193
Borda,20,0.7132
Borda,25,0.6928
Borda,30,0.6589
Borda,35,0.6252
Borda,40,0.6166
Borda,45,0.5869
Borda,50,0.5802
Borda,55,0.5691
Borda,60,0.5429
Borda,65,0.5348
Borda,70,0.5191
