f,n,manipulability
f_2n_3,5,0.8265
f_2n_3,10,0.8633
f_2n_3,15,0.9043
f_2n_3,20,0.8942
f_2n_3,25,0.885
f_2n_3,30,0.8796
f_2n_3,35,0.845
f_2n_3,40,0.8222
f_2n_3,45,0.803
f_2n_3,50,0.7719
f_2n_3,55,0.7718
f_2n_3,60,0.7388
f_2n_3,65,0.719
f_2n_3,70,0.7068
f_n_2,5,0.778
f_n_2,10,0.7806
f_n_2,15,0.7471
f_n_2,20,0.7248
f_n_2,25,0.6941
f_n_2,30,0.6614
f_n_2,35,0.6436
f_n_2,40,0.5949
f_n_2,45,0.5875
f_n_2,50,0.5503
f_n_2,55,0.5493
f_n_2,60,0.538
f_n_2,65,0.4969
f_n_2,70,0.512
f_n_3,5,0.5319
f_n_3,10,0.7296
f_n_3,15,0.7336
f_n_3,20,0.6799
f_n_3,25,0.6973
f_n_3,30,0.6689
f_n_3,35,0.6033
f_n_3,40,0.6158
f_n_3,45,0.5865
f_n_3,50,0.5617
f_n_3,55,0.5575
f_n_3,60,0.5345
f_n_3,65,0.5325
f_n_3,70,0.5074
Borda,5,0.6669
Borda,10,0.7518
Borda,15,0.7246
Borda,20,0.7192
Borda,25,0.6864
Borda,30,0.6622
Borda,35,0.6368
Borda,40,0.6259
Borda,45,0.5914
Borda,50,0.581
Borda,55,0.5576
Borda,60,0.5465
Borda,65,0.538
Borda,70,0.5231
