f,n,manipulability
f_2n_3,5,0.8302
f_2n_3,10,0.8576
f_2n_3,15,0.908
f_2n_3,20,0.8908
f_2n_3,25,0.8862
f_2n_3,30,0.8765
f_2n_3,35,0.845
f_2n_3,40,0.8085
f_2n_3,45,0.806
f_2n_3,50,0.783
f_2n_3,55,0.7813
f_2n_3,60,0.7296
f_2n_3,65,0.7216
f_2n_3,70,0.6975
f_n_2,5,0.7825
f_n_2,10,0.7851
f_n_2,15,0.746
f_n_2,20,0.7215
f_n_2,25,0.6982
f_n_2,30,0.6658
f_n_2,35,0.6363
f_n_2,40,0.6012
f_n_2,45,0.5863
f_n_2,50,0.5523
f_n_2,55,0.5449
f_n_2,60,0.5294
f_n_2,65,0.5032
f_n_2,70,0.5093
f_n_3,5,0.5433
f_n_3,10,0.728
f_n_3,15,0.7346
f_n_3,20,0.673
f_n_3,25,0.6936
f_n_3,30,0.6639
f_n_3,35,0.6164
f_n_3,40,0.616
f_n_3,45,0.5794
f_n_3,50,0.5654
f_n_3,55,0.5505
f_n_3,60,0.532
f_n_3,65,0.5292
f_n_3,70,0.5051
Borda,5,0.6542
Borda,10,0.7488
Borda,15,0.7262
Borda,20,0.7123
Borda,25,0.6944
Borda,30,0.6703
Borda,35,0.6343
Borda,40,0.6102
Borda,45,0.5935
Borda,50,0.5889
Borda,55,0.562
Borda,60,0.5526
Borda,65,0.5458
Borda,70,0.5277
