f,n,manipulability
f_2n_3,5,0.8295
f_2n_3,10,0.8633
f_2n_3,15,0.9077
f_2n_3,20,0.8893
f_2n_3,25,0.8852
f_2n_3,30,0.8778
f_2n_3,35,0.8442
f_2n_3,40,0.8104
f_2n_3,45,0.805
f_2n_3,50,0.7792
f_2n_3,55,0.7842
f_2n_3,60,0.7418
f_2n_3,65,0.7151
f_2n_3,70,0.694
f_n_2,5,0.7705
f_n_2,10,0.7817
f_n_2,15,0.7406
f_n_2,20,0.725
f_n_2,25,0.6946
f_n_2,30,0.661
f_n_2,35,0.6425
f_n_2,40,0.5948
f_n_2,45,0.5901
f_n_2,50,0.5453
f_n_2,55,0.5478
f_n_2,60,0.5326
f_n_2,65,0.4957
f_n_2,70,0.516
f_n_3,5,0.5421
f_n_3,10,0.7406
f_n_3,15,0.7367
f_n_3,20,0.6737
f_n_3,25,0.6922
f_n_3,30,0.6615
f_n_3,35,0.6167
f_n_3,40,0.6044
f_n_3,45,0.5761
f_n_3,50,0.5558
f_n_3,55,0.5367
f_n_3,60,0.5274
f_n_3,65,0.5352
f_n_3,70,0.5093
Borda,5,0.672
Borda,10,0.7491
Borda,15,0.7199
Borda,20,0.7096
Borda,25,0.6827
Borda,30,0.6624
Borda,35,0.6357
Borda,40,0.6278
Borda,45,0.6032
Borda,50,0.574
Borda,55,0.5654
Borda,60,0.5547
Borda,65,0.5313
Borda,70,0.5328
