f,n,manipulability
f_2n_3,5,0.8331
f_2n_3,10,0.8577
f_2n_3,15,0.9105
f_2n_3,20,0.8842
f_2n_3,25,0.8839
f_2n_3,30,0.8784
f_2n_3,35,0.8453
f_2n_3,40,0.8136
f_2n_3,45,0.8
f_2n_3,50,0.7795
f_2n_3,55,0.7724
f_2n_3,60,0.7338
f_2n_3,65,0.7261
f_2n_3,70,0.6962
f_n_2,5,0.7825
f_n_2,10,0.7825
f_n_2,15,0.7446
f_n_2,20,0.7233
f_n_2,25,0.7034
f_n_2,30,0.6562
f_n_2,35,0.6394
f_n_2,40,0.6123
f_n_2,45,0.5923
f_n_2,50,0.5533
f_n_2,55,0.5483
f_n_2,60,0.5274
f_n_2,65,0.5097
f_n_2,70,0.5044
f_n_3,5,0.5426
f_n_3,10,0.7423
f_n_3,15,0.7325
f_n_3,20,0.6683
f_n_3,25,0.6935
f_n_3,30,0.6631
f_n_3,35,0.6156
f_n_3,40,0.6279
f_n_3,45,0.5724
f_n_3,50,0.5612
f_n_3,55,0.5538
f_n_3,60,0.5327
f_n_3,65,0.5314
f_n_3,70,0.5103
Borda,5,0.6712
Borda,10,0.7506
Borda,15,0.7308
Borda,20,0.7091
Borda,25,0.6806
Borda,30,0.6652
Borda,35,0.6392
Borda,40,0.6157
Borda,45,0.5918
Borda,50,0.5854
Borda,55,0.564
Borda,60,0.5456
Borda,65,0.5417
Borda,70,0.5305
