m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0002
3,0.5416666666666666,0.0606
3,0.5625,0.1588
3,0.5833333333333334,0.2576
3,0.6041666666666666,0.3228
3,0.625,0.3369
3,0.6458333333333334,0.3871
3,0.6666666666666666,0.3498
3,0.6875,0.3644
3,0.7083333333333334,0.3647
3,0.7291666666666666,0.3544
3,0.75,0.3678
3,0.7708333333333334,0.414
3,0.7916666666666666,0.4747
3,0.8125,0.5405
3,0.8333333333333334,0.5857
3,0.8541666666666666,0.6101
3,0.875,0.611
3,0.8958333333333334,0.6186
3,0.9166666666666666,0.6149
3,0.9375,0.6177
3,0.9583333333333334,0.6244
3,0.9791666666666666,0.5587
3,1.0,0.2273
4,0.5,0.0
4,0.5208333333333334,0.0857
4,0.5416666666666666,0.3506
4,0.5625,0.4155
4,0.5833333333333334,0.4164
4,0.6041666666666666,0.4426
4,0.625,0.4622
4,0.6458333333333334,0.4514
4,0.6666666666666666,0.48
4,0.6875,0.5271
4,0.7083333333333334,0.5875
4,0.7291666666666666,0.6226
4,0.75,0.6592
4,0.7708333333333334,0.658
4,0.7916666666666666,0.6654
4,0.8125,0.6687
4,0.8333333333333334,0.6685
4,0.8541666666666666,0.656
4,0.875,0.6721
4,0.8958333333333334,0.7766
4,0.9166666666666666,0.8891
4,0.9375,0.9498
4,0.9583333333333334,0.973
4,0.9791666666666666,0.976
4,1.0,0.9684
5,0.5,0.0
5,0.5208333333333334,0.3917
5,0.5416666666666666,0.4536
5,0.5625,0.4214
5,0.5833333333333334,0.4968
5,0.6041666666666666,0.536
5,0.625,0.6262
5,0.6458333333333334,0.6573
5,0.6666666666666666,0.6967
5,0.6875,0.6713
5,0.7083333333333334,0.6844
5,0.7291666666666666,0.6843
5,0.75,0.6975
5,0.7708333333333334,0.7001
5,0.7916666666666666,0.7282
5,0.8125,0.8104
5,0.8333333333333334,0.8865
5,0.8541666666666666,0.9086
5,0.875,0.9229
5,0.8958333333333334,0.9437
5,0.9166666666666666,0.9341
5,0.9375,0.9313
5,0.9583333333333334,0.9729
5,0.9791666666666666,0.9908
5,1.0,0.9975
