f,n,manipulability
f_2n_3,5,0.8353
f_2n_3,10,0.8664
f_2n_3,15,0.9029
f_2n_3,20,0.8865
f_2n_3,25,0.8816
f_2n_3,30,0.8799
f_2n_3,35,0.8455
f_2n_3,40,0.8196
f_2n_3,45,0.8037
f_2n_3,50,0.7849
f_2n_3,55,0.7743
f_2n_3,60,0.7388
f_2n_3,65,0.7158
f_2n_3,70,0.6936
f_n_2,5,0.7795
f_n_2,10,0.7715
f_n_2,15,0.745
f_n_2,20,0.7252
f_n_2,25,0.6999
f_n_2,30,0.6566
f_n_2,35,0.6318
f_n_2,40,0.5942
f_n_2,45,0.5926
f_n_2,50,0.5468
f_n_2,55,0.5509
f_n_2,60,0.5344
f_n_2,65,0.5023
f_n_2,70,0.5171
f_n_3,5,0.5516
f_n_3,10,0.7357
f_n_3,15,0.7333
f_n_3,20,0.6717
f_n_3,25,0.6943
f_n_3,30,0.6583
f_n_3,35,0.6161
f_n_3,40,0.6209
f_n_3,45,0.5879
f_n_3,50,0.5609
f_n_3,55,0.5445
f_n_3,60,0.5293
f_n_3,65,0.527
f_n_3,70,0.5072
Borda,5,0.6637
Borda,10,0.7397
Borda,15,0.7316
Borda,20,0.7139
Borda,25,0.6889
Borda,30,0.6593
Borda,35,0.6369
Borda,40,0.6197
Borda,45,0.5908
Borda,50,0.5718
Borda,55,0.5773
Borda,60,0.5486
Borda,65,0.5391
Borda,70,0.5249
