m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0003
3,0.5416666666666666,0.0598
3,0.5625,0.1669
3,0.5833333333333334,0.2618
3,0.6041666666666666,0.3285
3,0.625,0.3392
3,0.6458333333333334,0.3802
3,0.6666666666666666,0.3503
3,0.6875,0.3536
3,0.7083333333333334,0.3585
3,0.7291666666666666,0.3635
3,0.75,0.3723
3,0.7708333333333334,0.4187
3,0.7916666666666666,0.464
3,0.8125,0.5452
3,0.8333333333333334,0.5891
3,0.8541666666666666,0.6031
3,0.875,0.6144
3,0.8958333333333334,0.6177
3,0.9166666666666666,0.6169
3,0.9375,0.6161
3,0.9583333333333334,0.6193
3,0.9791666666666666,0.5599
3,1.0,0.2306
4,0.5,0.0
4,0.5208333333333334,0.0882
4,0.5416666666666666,0.3429
4,0.5625,0.4202
4,0.5833333333333334,0.4116
4,0.6041666666666666,0.4377
4,0.625,0.4514
4,0.6458333333333334,0.4441
4,0.6666666666666666,0.4855
4,0.6875,0.5295
4,0.7083333333333334,0.5732
4,0.7291666666666666,0.63
4,0.75,0.658
4,0.7708333333333334,0.6606
4,0.7916666666666666,0.6669
4,0.8125,0.665
4,0.8333333333333334,0.6554
4,0.8541666666666666,0.6597
4,0.875,0.6871
4,0.8958333333333334,0.7745
4,0.9166666666666666,0.8875
4,0.9375,0.9511
4,0.9583333333333334,0.9736
4,0.9791666666666666,0.975
4,1.0,0.9695
5,0.5,0.0
5,0.5208333333333334,0.3926
5,0.5416666666666666,0.4596
5,0.5625,0.4174
5,0.5833333333333334,0.4896
5,0.6041666666666666,0.541
5,0.625,0.6059
5,0.6458333333333334,0.6546
5,0.6666666666666666,0.6987
5,0.6875,0.665
5,0.7083333333333334,0.6792
5,0.7291666666666666,0.6815
5,0.75,0.6996
5,0.7708333333333334,0.6988
5,0.7916666666666666,0.7288
5,0.8125,0.8141
5,0.8333333333333334,0.8886
5,0.8541666666666666,0.906
5,0.875,0.9216
5,0.8958333333333334,0.9455
5,0.9166666666666666,0.9348
5,0.9375,0.9321
5,0.9583333333333334,0.9709
5,0.9791666666666666,0.9907
5,1.0,0.9978
