f,n,manipulability
f_2n_3,5,0.8308
f_2n_3,10,0.8555
f_2n_3,15,0.9002
f_2n_3,20,0.894
f_2n_3,25,0.8871
f_2n_3,30,0.8741
f_2n_3,35,0.855
f_2n_3,40,0.8085
f_2n_3,45,0.8085
f_2n_3,50,0.7809
f_2n_3,55,0.7773
f_2n_3,60,0.7342
f_2n_3,65,0.7144
f_2n_3,70,0.6979
f_n_2,5,0.7851
f_n_2,10,0.783
f_n_2,15,0.7575
f_n_2,20,0.7175
f_n_2,25,0.6976
f_n_2,30,0.6694
f_n_2,35,0.6435
f_n_2,40,0.6
f_n_2,45,0.5949
f_n_2,50,0.5476
f_n_2,55,0.5367
f_n_2,60,0.528
f_n_2,65,0.4983
f_n_2,70,0.5148
f_n_3,5,0.54
f_n_3,10,0.7381
f_n_3,15,0.7394
f_n_3,20,0.6699
f_n_3,25,0.6951
f_n_3,30,0.6606
f_n_3,35,0.6165
f_n_3,40,0.6139
f_n_3,45,0.5847
f_n_3,50,0.566
f_n_3,55,0.5528
f_n_3,60,0.5389
f_n_3,65,0.5302
f_n_3,70,0.5022
Borda,5,0.6582
Borda,10,0.7473
Borda,15,0.7289
Borda,20,0.717
Borda,25,0.6836
Borda,30,0.6574
Borda,35,0.6326
Borda,40,0.6119
Borda,45,0.6047
Borda,50,0.5793
Borda,55,0.5577
Borda,60,0.5466
Borda,65,0.5246
Borda,70,0.5228
