m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.005
3,0.5416666666666666,0.0504
3,0.5625,0.0995
3,0.5833333333333334,0.1289
3,0.6041666666666666,0.1762
3,0.625,0.1982
3,0.6458333333333334,0.229
3,0.6666666666666666,0.2207
3,0.6875,0.2369
3,0.7083333333333334,0.2574
3,0.7291666666666666,0.2629
3,0.75,0.2818
3,0.7708333333333334,0.2927
3,0.7916666666666666,0.3574
3,0.8125,0.4147
3,0.8333333333333334,0.4729
3,0.8541666666666666,0.5158
3,0.875,0.573
3,0.8958333333333334,0.6051
3,0.9166666666666666,0.643
3,0.9375,0.6639
3,0.9583333333333334,0.6746
3,0.9791666666666666,0.6796
3,1.0,0.5048
4,0.5,0.0
4,0.5208333333333334,0.0515
4,0.5416666666666666,0.1685
4,0.5625,0.2193
4,0.5833333333333334,0.2274
4,0.6041666666666666,0.2618
4,0.625,0.2833
4,0.6458333333333334,0.3
4,0.6666666666666666,0.3127
4,0.6875,0.3498
4,0.7083333333333334,0.3905
4,0.7291666666666666,0.4459
4,0.75,0.4811
4,0.7708333333333334,0.5108
4,0.7916666666666666,0.5657
4,0.8125,0.6041
4,0.8333333333333334,0.5972
4,0.8541666666666666,0.619
4,0.875,0.6521
4,0.8958333333333334,0.697
4,0.9166666666666666,0.7761
4,0.9375,0.8516
4,0.9583333333333334,0.9129
4,0.9791666666666666,0.9535
4,1.0,0.9662
5,0.5,0.0
5,0.5208333333333334,0.1781
5,0.5416666666666666,0.2248
5,0.5625,0.2463
5,0.5833333333333334,0.2908
5,0.6041666666666666,0.3393
5,0.625,0.3767
5,0.6458333333333334,0.4232
5,0.6666666666666666,0.4358
5,0.6875,0.4516
5,0.7083333333333334,0.4883
5,0.7291666666666666,0.5198
5,0.75,0.5555
5,0.7708333333333334,0.5963
5,0.7916666666666666,0.6298
5,0.8125,0.688
5,0.8333333333333334,0.7635
5,0.8541666666666666,0.7895
5,0.875,0.8321
5,0.8958333333333334,0.8917
5,0.9166666666666666,0.914
5,0.9375,0.9365
5,0.9583333333333334,0.9697
5,0.9791666666666666,0.983
5,1.0,0.9882
