m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0009
3,0.5416666666666666,0.0576
3,0.5625,0.1626
3,0.5833333333333334,0.2505
3,0.6041666666666666,0.3309
3,0.625,0.3466
3,0.6458333333333334,0.3831
3,0.6666666666666666,0.345
3,0.6875,0.3578
3,0.7083333333333334,0.3519
3,0.7291666666666666,0.3651
3,0.75,0.3633
3,0.7708333333333334,0.4109
3,0.7916666666666666,0.4666
3,0.8125,0.5414
3,0.8333333333333334,0.5883
3,0.8541666666666666,0.6128
3,0.875,0.618
3,0.8958333333333334,0.6262
3,0.9166666666666666,0.613
3,0.9375,0.6276
3,0.9583333333333334,0.6184
3,0.9791666666666666,0.5541
3,1.0,0.2246
4,0.5,0.0
4,0.5208333333333334,0.0874
4,0.5416666666666666,0.3426
4,0.5625,0.4175
4,0.5833333333333334,0.4129
4,0.6041666666666666,0.4345
4,0.625,0.4553
4,0.6458333333333334,0.4494
4,0.6666666666666666,0.4825
4,0.6875,0.528
4,0.7083333333333334,0.5874
4,0.7291666666666666,0.6306
4,0.75,0.6621
4,0.7708333333333334,0.6566
4,0.7916666666666666,0.6612
4,0.8125,0.6678
4,0.8333333333333334,0.6589
4,0.8541666666666666,0.6626
4,0.875,0.6792
4,0.8958333333333334,0.7682
4,0.9166666666666666,0.8825
4,0.9375,0.9483
4,0.9583333333333334,0.9724
4,0.9791666666666666,0.9767
4,1.0,0.9724
5,0.5,0.0
5,0.5208333333333334,0.393
5,0.5416666666666666,0.4549
5,0.5625,0.4077
5,0.5833333333333334,0.4897
5,0.6041666666666666,0.5302
5,0.625,0.6173
5,0.6458333333333334,0.6544
5,0.6666666666666666,0.6937
5,0.6875,0.6625
5,0.7083333333333334,0.6802
5,0.7291666666666666,0.6817
5,0.75,0.7105
5,0.7708333333333334,0.7054
5,0.7916666666666666,0.7314
5,0.8125,0.8163
5,0.8333333333333334,0.8922
5,0.8541666666666666,0.9103
5,0.875,0.931
5,0.8958333333333334,0.943
5,0.9166666666666666,0.9352
5,0.9375,0.9311
5,0.9583333333333334,0.9717
5,0.9791666666666666,0.9902
5,1.0,0.9979
