f,n,manipulability
f_2n_3,5,0.8314
f_2n_3,10,0.8571
f_2n_3,15,0.9047
f_2n_3,20,0.8833
f_2n_3,25,0.8849
f_2n_3,30,0.871
f_2n_3,35,0.8399
f_2n_3,40,0.8168
f_2n_3,45,0.8026
f_2n_3,50,0.7781
f_2n_3,55,0.7813
f_2n_3,60,0.74
f_2n_3,65,0.7192
f_2n_3,70,0.7002
f_n_2,5,0.7818
f_n_2,10,0.7782
f_n_2,15,0.743
f_n_2,20,0.7209
f_n_2,25,0.6993
f_n_2,30,0.663
f_n_2,35,0.6421
f_n_2,40,0.6056
f_n_2,45,0.5833
f_n_2,50,0.5507
f_n_2,55,0.5464
f_n_2,60,0.531
f_n_2,65,0.4992
f_n_2,70,0.5039
f_n_3,5,0.5374
f_n_3,10,0.7346
f_n_3,15,0.7324
f_n_3,20,0.6684
f_n_3,25,0.6944
f_n_3,30,0.6608
f_n_3,35,0.6152
f_n_3,40,0.6094
f_n_3,45,0.5832
f_n_3,50,0.5694
f_n_3,55,0.5497
f_n_3,60,0.5265
f_n_3,65,0.534
f_n_3,70,0.5102
Borda,5,0.6568
Borda,10,0.7527
Borda,15,0.734
Borda,20,0.7181
Borda,25,0.6858
Borda,30,0.65
Borda,35,0.6404
Borda,40,0.6176
Borda,45,0.5945
Borda,50,0.5792
Borda,55,0.5603
Borda,60,0.5495
Borda,65,0.5351
Borda,70,0.5211
