m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0029
3,0.5416666666666666,0.0517
3,0.5625,0.1058
3,0.5833333333333334,0.1317
3,0.6041666666666666,0.1731
3,0.625,0.2014
3,0.6458333333333334,0.2244
3,0.6666666666666666,0.2233
3,0.6875,0.2282
3,0.7083333333333334,0.2554
3,0.7291666666666666,0.2543
3,0.75,0.2803
3,0.7708333333333334,0.3005
3,0.7916666666666666,0.3484
3,0.8125,0.4096
3,0.8333333333333334,0.4768
3,0.8541666666666666,0.5247
3,0.875,0.5669
3,0.8958333333333334,0.608
3,0.9166666666666666,0.6423
3,0.9375,0.6598
3,0.9583333333333334,0.6773
3,0.9791666666666666,0.6848
3,1.0,0.501
4,0.5,0.0
4,0.5208333333333334,0.0446
4,0.5416666666666666,0.169
4,0.5625,0.2161
4,0.5833333333333334,0.2312
4,0.6041666666666666,0.2663
4,0.625,0.2888
4,0.6458333333333334,0.2952
4,0.6666666666666666,0.3096
4,0.6875,0.3459
4,0.7083333333333334,0.3942
4,0.7291666666666666,0.4448
4,0.75,0.4959
4,0.7708333333333334,0.5219
4,0.7916666666666666,0.5648
4,0.8125,0.6
4,0.8333333333333334,0.5983
4,0.8541666666666666,0.6136
4,0.875,0.6507
4,0.8958333333333334,0.6951
4,0.9166666666666666,0.7717
4,0.9375,0.8434
4,0.9583333333333334,0.9127
4,0.9791666666666666,0.9576
4,1.0,0.9646
5,0.5,0.0
5,0.5208333333333334,0.1859
5,0.5416666666666666,0.2326
5,0.5625,0.2556
5,0.5833333333333334,0.2897
5,0.6041666666666666,0.3374
5,0.625,0.3872
5,0.6458333333333334,0.4069
5,0.6666666666666666,0.4472
5,0.6875,0.4568
5,0.7083333333333334,0.491
5,0.7291666666666666,0.5293
5,0.75,0.5559
5,0.7708333333333334,0.5882
5,0.7916666666666666,0.6259
5,0.8125,0.6791
5,0.8333333333333334,0.7634
5,0.8541666666666666,0.7882
5,0.875,0.8417
5,0.8958333333333334,0.8879
5,0.9166666666666666,0.9164
5,0.9375,0.9416
5,0.9583333333333334,0.9742
5,0.9791666666666666,0.9823
5,1.0,0.9903
