m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0007
3,0.5416666666666666,0.0565
3,0.5625,0.1599
3,0.5833333333333334,0.2509
3,0.6041666666666666,0.3315
3,0.625,0.3486
3,0.6458333333333334,0.3796
3,0.6666666666666666,0.351
3,0.6875,0.3513
3,0.7083333333333334,0.3519
3,0.7291666666666666,0.3526
3,0.75,0.3667
3,0.7708333333333334,0.417
3,0.7916666666666666,0.4682
3,0.8125,0.5454
3,0.8333333333333334,0.5876
3,0.8541666666666666,0.6043
3,0.875,0.6239
3,0.8958333333333334,0.6224
3,0.9166666666666666,0.6166
3,0.9375,0.6177
3,0.9583333333333334,0.6226
3,0.9791666666666666,0.5552
3,1.0,0.2237
4,0.5,0.0
4,0.5208333333333334,0.0821
4,0.5416666666666666,0.3459
4,0.5625,0.4195
4,0.5833333333333334,0.4165
4,0.6041666666666666,0.4311
4,0.625,0.4597
4,0.6458333333333334,0.443
4,0.6666666666666666,0.4791
4,0.6875,0.5257
4,0.7083333333333334,0.5848
4,0.7291666666666666,0.6305
4,0.75,0.6652
4,0.7708333333333334,0.6497
4,0.7916666666666666,0.6757
4,0.8125,0.6634
4,0.8333333333333334,0.6588
4,0.8541666666666666,0.6591
4,0.875,0.6849
4,0.8958333333333334,0.7749
4,0.9166666666666666,0.8833
4,0.9375,0.9512
4,0.9583333333333334,0.9736
4,0.9791666666666666,0.9755
4,1.0,0.9683
5,0.5,0.0
5,0.5208333333333334,0.3997
5,0.5416666666666666,0.4572
5,0.5625,0.4254
5,0.5833333333333334,0.4899
5,0.6041666666666666,0.5388
5,0.625,0.6218
5,0.6458333333333334,0.644
5,0.6666666666666666,0.6951
5,0.6875,0.6581
5,0.7083333333333334,0.6794
5,0.7291666666666666,0.6836
5,0.75,0.696
5,0.7708333333333334,0.7011
5,0.7916666666666666,0.729
5,0.8125,0.8166
5,0.8333333333333334,0.8859
5,0.8541666666666666,0.9017
5,0.875,0.9244
5,0.8958333333333334,0.9486
5,0.9166666666666666,0.9333
5,0.9375,0.9352
5,0.9583333333333334,0.9698
5,0.9791666666666666,0.9899
5,1.0,0.9978
