f,n,manipulability
f_2n_3,5,0.8348
f_2n_3,10,0.8629
f_2n_3,15,0.9026
f_2n_3,20,0.8917
f_2n_3,25,0.8891
f_2n_3,30,0.8787
f_2n_3,35,0.8526
f_2n_3,40,0.8181
f_2n_3,45,0.8056
f_2n_3,50,0.7754
f_2n_3,55,0.7851
f_2n_3,60,0.7329
f_2n_3,65,0.7144
f_2n_3,70,0.7105
f_n_2,5,0.7863
f_n_2,10,0.7809
f_n_2,15,0.7457
f_n_2,20,0.7257
f_n_2,25,0.7004
f_n_2,30,0.6658
f_n_2,35,0.6409
f_n_2,40,0.5994
f_n_2,45,0.5887
f_n_2,50,0.5484
f_n_2,55,0.5443
f_n_2,60,0.5372
f_n_2,65,0.5048
f_n_2,70,0.5075
f_n_3,5,0.5448
f_n_3,10,0.7318
f_n_3,15,0.733
f_n_3,20,0.6733
f_n_3,25,0.6948
f_n_3,30,0.6644
f_n_3,35,0.6094
f_n_3,40,0.6198
f_n_3,45,0.5753
f_n_3,50,0.5699
f_n_3,55,0.5532
f_n_3,60,0.5411
f_n_3,65,0.5249
f_n_3,70,0.5123
Borda,5,0.6592
Borda,10,0.7452
Borda,15,0.7235
Borda,20,0.7195
Borda,25,0.6938
Borda,30,0.6711
Borda,35,0.6379
Borda,40,0.6244
Borda,45,0.5957
Borda,50,0.5764
Borda,55,0.5655
Borda,60,0.5497
Borda,65,0.5363
Borda,70,0.5274
