f,n,manipulability
f_2n_3,5,0.8359
f_2n_3,10,0.8554
f_2n_3,15,0.9073
f_2n_3,20,0.8812
f_2n_3,25,0.8934
f_2n_3,30,0.8747
f_2n_3,35,0.8495
f_2n_3,40,0.8176
f_2n_3,45,0.7993
f_2n_3,50,0.7757
f_2n_3,55,0.7728
f_2n_3,60,0.7353
f_2n_3,65,0.7191
f_2n_3,70,0.7066
f_n_2,5,0.7844
f_n_2,10,0.7811
f_n_2,15,0.7373
f_n_2,20,0.7252
f_n_2,25,0.7074
f_n_2,30,0.662
f_n_2,35,0.6366
f_n_2,40,0.5989
f_n_2,45,0.5995
f_n_2,50,0.5513
f_n_2,55,0.5472
f_n_2,60,0.5289
f_n_2,65,0.4928
f_n_2,70,0.5042
f_n_3,5,0.5323
f_n_3,10,0.737
f_n_3,15,0.7325
f_n_3,20,0.676
f_n_3,25,0.6934
f_n_3,30,0.6628
f_n_3,35,0.6144
f_n_3,40,0.6263
f_n_3,45,0.5744
f_n_3,50,0.5591
f_n_3,55,0.5467
f_n_3,60,0.528
f_n_3,65,0.536
f_n_3,70,0.5075
Borda,5,0.6671
Borda,10,0.7474
Borda,15,0.727
Borda,20,0.7081
Borda,25,0.6923
Borda,30,0.6587
Borda,35,0.634
Borda,40,0.614
Borda,45,0.5966
Borda,50,0.5824
Borda,55,0.5592
Borda,60,0.5454
Borda,65,0.5315
Borda,70,0.531
