f,n,manipulability
f_2n_3,5,0.8248
f_2n_3,10,0.8602
f_2n_3,15,0.9071
f_2n_3,20,0.8888
f_2n_3,25,0.884
f_2n_3,30,0.8804
f_2n_3,35,0.8445
f_2n_3,40,0.8213
f_2n_3,45,0.8038
f_2n_3,50,0.7794
f_2n_3,55,0.7752
f_2n_3,60,0.744
f_2n_3,65,0.7202
f_2n_3,70,0.6984
f_n_2,5,0.7741
f_n_2,10,0.7885
f_n_2,15,0.7464
f_n_2,20,0.7148
f_n_2,25,0.7004
f_n_2,30,0.6621
f_n_2,35,0.6504
f_n_2,40,0.5886
f_n_2,45,0.5924
f_n_2,50,0.5519
f_n_2,55,0.5465
f_n_2,60,0.543
f_n_2,65,0.5072
f_n_2,70,0.5129
f_n_3,5,0.5492
f_n_3,10,0.7396
f_n_3,15,0.7396
f_n_3,20,0.6664
f_n_3,25,0.6941
f_n_3,30,0.6547
f_n_3,35,0.6045
f_n_3,40,0.6189
f_n_3,45,0.5816
f_n_3,50,0.5703
f_n_3,55,0.5446
f_n_3,60,0.5416
f_n_3,65,0.5244
f_n_3,70,0.5021
Borda,5,0.6663
Borda,10,0.7495
Borda,15,0.727
Borda,20,0.7124
Borda,25,0.6816
Borda,30,0.654
Borda,35,0.6372
Borda,40,0.6136
Borda,45,0.6028
Borda,50,0.5811
Borda,55,0.5655
Borda,60,0.5448
Borda,65,0.5345
Borda,70,0.5251
