f,n,manipulability
f_2n_3,5,0.8342
f_2n_3,10,0.857
f_2n_3,15,0.8996
f_2n_3,20,0.887
f_2n_3,25,0.8904
f_2n_3,30,0.8708
f_2n_3,35,0.8414
f_2n_3,40,0.8136
f_2n_3,45,0.8004
f_2n_3,50,0.7813
f_2n_3,55,0.7743
f_2n_3,60,0.7332
f_2n_3,65,0.7327
f_2n_3,70,0.6977
f_n_2,5,0.7727
f_n_2,10,0.785
f_n_2,15,0.7523
f_n_2,20,0.7271
f_n_2,25,0.6995
f_n_2,30,0.6596
f_n_2,35,0.6361
f_n_2,40,0.6037
f_n_2,45,0.5936
f_n_2,50,0.5506
f_n_2,55,0.5434
f_n_2,60,0.5303
f_n_2,65,0.4867
f_n_2,70,0.5088
f_n_3,5,0.5437
f_n_3,10,0.7388
f_n_3,15,0.7349
f_n_3,20,0.6707
f_n_3,25,0.6976
f_n_3,30,0.6605
f_n_3,35,0.6075
f_n_3,40,0.6141
f_n_3,45,0.5802
f_n_3,50,0.5653
f_n_3,55,0.551
f_n_3,60,0.5305
f_n_3,65,0.5332
f_n_3,70,0.4962
Borda,5,0.6613
Borda,10,0.746
Borda,15,0.7263
Borda,20,0.7093
Borda,25,0.6956
Borda,30,0.6571
Borda,35,0.6377
Borda,40,0.6234
Borda,45,0.5929
Borda,50,0.5695
Borda,55,0.5629
Borda,60,0.5482
Borda,65,0.5376
Borda,70,0.529
