m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.005
3,0.5416666666666666,0.0547
3,0.5625,0.1055
3,0.5833333333333334,0.1249
3,0.6041666666666666,0.1689
3,0.625,0.2012
3,0.6458333333333334,0.2232
3,0.6666666666666666,0.2283
3,0.6875,0.2332
3,0.7083333333333334,0.261
3,0.7291666666666666,0.2527
3,0.75,0.2754
3,0.7708333333333334,0.3006
3,0.7916666666666666,0.3534
3,0.8125,0.4107
3,0.8333333333333334,0.4758
3,0.8541666666666666,0.5336
3,0.875,0.5659
3,0.8958333333333334,0.6133
3,0.9166666666666666,0.6459
3,0.9375,0.6636
3,0.9583333333333334,0.675
3,0.9791666666666666,0.6876
3,1.0,0.4973
4,0.5,0.0
4,0.5208333333333334,0.052
4,0.5416666666666666,0.1724
4,0.5625,0.2146
4,0.5833333333333334,0.2228
4,0.6041666666666666,0.2727
4,0.625,0.2856
4,0.6458333333333334,0.31
4,0.6666666666666666,0.3208
4,0.6875,0.3519
4,0.7083333333333334,0.387
4,0.7291666666666666,0.4513
4,0.75,0.4956
4,0.7708333333333334,0.5161
4,0.7916666666666666,0.5477
4,0.8125,0.5984
4,0.8333333333333334,0.6046
4,0.8541666666666666,0.6202
4,0.875,0.6465
4,0.8958333333333334,0.6965
4,0.9166666666666666,0.773
4,0.9375,0.8455
4,0.9583333333333334,0.9141
4,0.9791666666666666,0.9521
4,1.0,0.9685
5,0.5,0.0
5,0.5208333333333334,0.1832
5,0.5416666666666666,0.234
5,0.5625,0.2517
5,0.5833333333333334,0.2926
5,0.6041666666666666,0.334
5,0.625,0.3856
5,0.6458333333333334,0.4184
5,0.6666666666666666,0.4484
5,0.6875,0.4474
5,0.7083333333333334,0.4812
5,0.7291666666666666,0.5293
5,0.75,0.5545
5,0.7708333333333334,0.5832
5,0.7916666666666666,0.6184
5,0.8125,0.6936
5,0.8333333333333334,0.7614
5,0.8541666666666666,0.7903
5,0.875,0.8292
5,0.8958333333333334,0.8827
5,0.9166666666666666,0.9139
5,0.9375,0.939
5,0.9583333333333334,0.9673
5,0.9791666666666666,0.9826
5,1.0,0.9909
