m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0062
3,0.5416666666666666,0.0528
3,0.5625,0.1057
3,0.5833333333333334,0.1275
3,0.6041666666666666,0.1693
3,0.625,0.2003
3,0.6458333333333334,0.2261
3,0.6666666666666666,0.2277
3,0.6875,0.2343
3,0.7083333333333334,0.2624
3,0.7291666666666666,0.2641
3,0.75,0.2774
3,0.7708333333333334,0.3018
3,0.7916666666666666,0.351
3,0.8125,0.4023
3,0.8333333333333334,0.4771
3,0.8541666666666666,0.5173
3,0.875,0.578
3,0.8958333333333334,0.6152
3,0.9166666666666666,0.6507
3,0.9375,0.6638
3,0.9583333333333334,0.683
3,0.9791666666666666,0.6716
3,1.0,0.4998
4,0.5,0.0
4,0.5208333333333334,0.0469
4,0.5416666666666666,0.1791
4,0.5625,0.2164
4,0.5833333333333334,0.2227
4,0.6041666666666666,0.2629
4,0.625,0.2846
4,0.6458333333333334,0.2933
4,0.6666666666666666,0.3141
4,0.6875,0.3493
4,0.7083333333333334,0.3889
4,0.7291666666666666,0.4489
4,0.75,0.4769
4,0.7708333333333334,0.521
4,0.7916666666666666,0.5656
4,0.8125,0.5946
4,0.8333333333333334,0.5987
4,0.8541666666666666,0.615
4,0.875,0.6536
4,0.8958333333333334,0.6898
4,0.9166666666666666,0.7709
4,0.9375,0.8479
4,0.9583333333333334,0.9193
4,0.9791666666666666,0.9563
4,1.0,0.9688
5,0.5,0.0
5,0.5208333333333334,0.1838
5,0.5416666666666666,0.2339
5,0.5625,0.2412
5,0.5833333333333334,0.2963
5,0.6041666666666666,0.3365
5,0.625,0.3825
5,0.6458333333333334,0.4166
5,0.6666666666666666,0.4416
5,0.6875,0.4422
5,0.7083333333333334,0.4865
5,0.7291666666666666,0.5315
5,0.75,0.5612
5,0.7708333333333334,0.5931
5,0.7916666666666666,0.6147
5,0.8125,0.6819
5,0.8333333333333334,0.7595
5,0.8541666666666666,0.792
5,0.875,0.8373
5,0.8958333333333334,0.8844
5,0.9166666666666666,0.9143
5,0.9375,0.9385
5,0.9583333333333334,0.9692
5,0.9791666666666666,0.9823
5,1.0,0.9903
