f,n,manipulability
f_2n_3,5,0.8271
f_2n_3,10,0.8581
f_2n_3,15,0.906
f_2n_3,20,0.8948
f_2n_3,25,0.888
f_2n_3,30,0.8805
f_2n_3,35,0.8393
f_2n_3,40,0.8189
f_2n_3,45,0.806
f_2n_3,50,0.7789
f_2n_3,55,0.7828
f_2n_3,60,0.7338
f_2n_3,65,0.7225
f_2n_3,70,0.7049
f_n_2,5,0.7815
f_n_2,10,0.7846
f_n_2,15,0.746
f_n_2,20,0.7157
f_n_2,25,0.7011
f_n_2,30,0.6623
f_n_2,35,0.6409
f_n_2,40,0.5994
f_n_2,45,0.5877
f_n_2,50,0.5507
f_n_2,55,0.534
f_n_2,60,0.5318
f_n_2,65,0.5002
f_n_2,70,0.5048
f_n_3,5,0.5404
f_n_3,10,0.7298
f_n_3,15,0.7373
f_n_3,20,0.6718
f_n_3,25,0.6981
f_n_3,30,0.6631
f_n_3,35,0.6123
f_n_3,40,0.6211
f_n_3,45,0.5798
f_n_3,50,0.5746
f_n_3,55,0.5445
f_n_3,60,0.5303
f_n_3,65,0.5254
f_n_3,70,0.5036
Borda,5,0.6607
Borda,10,0.7494
Borda,15,0.7278
Borda,20,0.7187
Borda,25,0.6776
Borda,30,0.6463
Borda,35,0.625
Borda,40,0.6182
Borda,45,0.5964
Borda,50,0.5817
Borda,55,0.565
Borda,60,0.5502
Borda,65,0.5314
Borda,70,0.5207
