f,n,manipulability
f_2n_3,5,0.8301
f_2n_3,10,0.8611
f_2n_3,15,0.9055
f_2n_3,20,0.8857
f_2n_3,25,0.8928
f_2n_3,30,0.8781
f_2n_3,35,0.846
f_2n_3,40,0.8119
f_2n_3,45,0.8021
f_2n_3,50,0.7805
f_2n_3,55,0.7786
f_2n_3,60,0.7356
f_2n_3,65,0.732
f_2n_3,70,0.7003
f_n_2,5,0.7818
f_n_2,10,0.7811
f_n_2,15,0.7398
f_n_2,20,0.7256
f_n_2,25,0.7011
f_n_2,30,0.6496
f_n_2,35,0.6368
f_n_2,40,0.6019
f_n_2,45,0.5837
f_n_2,50,0.5503
f_n_2,55,0.5375
f_n_2,60,0.5274
f_n_2,65,0.4927
f_n_2,70,0.5115
f_n_3,5,0.5403
f_n_3,10,0.7379
f_n_3,15,0.7394
f_n_3,20,0.6753
f_n_3,25,0.703
f_n_3,30,0.667
f_n_3,35,0.6074
f_n_3,40,0.6199
f_n_3,45,0.5744
f_n_3,50,0.5662
f_n_3,55,0.545
f_n_3,60,0.5246
f_n_3,65,0.5341
f_n_3,70,0.5151
Borda,5,0.6651
Borda,10,0.7408
Borda,15,0.726
Borda,20,0.7154
Borda,25,0.686
Borda,30,0.6566
Borda,35,0.6387
Borda,40,0.6165
Borda,45,0.5991
Borda,50,0.5888
Borda,55,0.5611
Borda,60,0.5504
Borda,65,0.5318
Borda,70,0.5223
